Python	GAST
Module	TRANSLATION_UNIT
Interactive	TRANSLATION_UNIT
Expression	TRANSLATION_UNIT
ClassDef	CLASS_DECL
Return	RETURN_STMT
Delete	CXX_DELETE_EXPR
Assign	ASM_STMT
AugAssign	COMPOUND_ASSIGN_OPERATOR
Print	CALL_EXPR
For	FOR_STMT
While	WHILE_STMT
If	IF_STMT
With	CALL_EXPR
Raise	CXX_THROW_EXPR
TryExcept	CXX_TRY_STMT
TryFinally	CXX_TRY_STMT
Assert	CONDITIONAL_OPERATOR
Import	IMPORT
ImportFrom	IMPORT
Exec	UNKNOWN
Global	UNKNOWN
Expr	CALL_EXPR
Pass	UNKNOWN
Break	BREAK_STMT
Continue	CONTINUE_STMT
BoolOp	BINARY_OPERATOR
BinOp	BINARY_OPERATOR
UnaryOp	UNARY_OPERATOR
Lambda	UNKNOWN
IfExp	IF_STMT
Dict	DICT
Set	SET
ListComp	UNKNWON
SetComp	UNKNOWN
DictComp	UNKNOWN
GeneratorExp	UNKNOWN
Yield	UNKNOWN
Compare	UNKNOWN
Call	CALL_EXPR
Repr	C_STYLE_CAST_EXPR
Num	INTEGER_LITERAL
Str	STRING_LITERAL
Attribute	UNKNOWN
Subscript	UNKNOWN
Name	UNKNOWN
ListComp	UNKNOWN
Tuple	UNKNOWN
Load	UNKNOWN
Store	UNKNOWN
Del	CXX_DELETE_EXPR
AugLoad	UNKNOWN
AugStore	UNKNOWN
Param	PARM_DECL
Ellipsis	UNKNOWN
Slice	UNKNOWN
ExtSlice	UNKNOWN
Index	UNKNOWN
And	CXX_BOOL_LITERAL_EXPR
Or	CXX_BOOL_LITERAL_EXPR
Add	UNKNOWN
Sub	UNKNOWN
Mult	UNKNOWN
Div	UNKNOWN
Mod	UNKNOWN
Pow	UNKNOWN
Lshift	UNKNOWN
Rshift	UNKNOWN
BitOr	UNKNOWN
BitXor	UNKNOWN
BitAnd	UNKNOWN
FloorDiv	UNKNOWN
Invert	UNKNOWN
Not	UNKNOWN
Uadd	UNKNOWN
Usub	UNKNOWN
Eq	UNKNOWN
NotEq	UNKNOWN
Lt	UNKNOWN
LtE	UNKNOWN
Gt	UNKNOWN
GtE	UNKNOWN
Is	UNKNOWN
IsNot	UNKNOWN
In	UNKNOWN
NotIn	UNKNOWN
FunctionDef	FUNCTION_DECL
arguments	PARM_DECL
